r	intercept	slope	subcl	all
CRC1486PRX0A01001TUMD03000V2.fit.0.025_0.1.r2:1	0.977811456481937	0.280535675110513	NA	8	272
CRC1599LMX0A02001TUMD03000V2.fit.0.025_0.1.r2:1	0.900663584752751	3.52286160232768	NA	73	345
CRC1599PRX0A02002TUMD03000V2.fit.0.025_0.1.r2:1	0.985268230045606	1.27583023569246	NA	31	261
CRC1624LMX0B02001TUMD03000V2.fit.0.025_0.1.r2:1	0.934212053143002	5.65848270819707	NA	116	607
CRC1624PRX0B02001TUMD03000V2.fit.0.025_0.1.r2:1	0.960320823795738	0.88148681436421	NA	21	443
CRC1673LMX0B02004TUMD03000V2.fit.0.025_0.1.r2:1	0.973752711496746	0.0903160830492718	NA	2	38
CRC1673PRX0B02001TUMD03000V2.fit.0.025_0.1.r2:1	0.951737516216907	1.49833622521613	NA	34	482
CRC1824LMX0A02001TUMD03000V2.fit.0.025_0.1.r2:1	0.956664769082713	2.49125304302528	NA	50	467
CRC1824PRX0A02003TUMD03000V2.fit.0.025_0.1.r2:1	0.830429836892832	1.04181810494643	NA	19	476
CRC2790LMX0A02001TUMD03000V2.fit.0.025_0.1.r2:1	0.979821189650969	1.86543042484527	NA	43	323
CRC2790PRX0A02001TUMD03000V2.fit.0.025_0.1.r2:1	0.981060399831628	1.75336619566422	NA	34	314
CRC0053LMX0A02204TUMD07000V2.fit.0.025_0.15.r2:1	0.96272200125616	1.25394147301536	NA	30	206
CRC0053PRX0A01201TUMD05000V2.fit.0.025_0.15.r2:1	0.983742314547776	1.12333062705841	NA	28	213
CRC0065LMX0B02205TUMD02000V2.fit.0.025_0.15.r2:1	0.802733619544742	1.70970428671241	NA	39	481
CRC0065PRX0A01201TUMD03000V2.fit.0.025_0.15.r2:1	0.983815423992174	3.4128869987638	NA	81	394
CRC0071LMX0A02204TUMD09000V2.fit.0.025_0.15.r2:1	0.968199248063916	1.70133845547492	NA	35	266
CRC0071PRX0A01201TUMD06000V2.fit.0.025_0.15.r2:1	0.920184685367097	1.21844332506052	NA	31	241
CRC0094LMX0A02201TUMD05000V2.fit.0.025_0.15.r2:1	0.938363370345864	4.5094503847288	NA	97	370
CRC0094PRX0A01201TUMD06000V2.fit.0.025_0.15.r2:1	0.982311084973085	0.700693505705777	NA	18	203
CRC0333LMX0A02204TUMD07000V2.fit.0.025_0.15.r2:1	0.993136847949977	3.0937979664992	NA	86	373
CRC0333PRX0A01201TUMD07000V2.fit.0.025_0.15.r2:1	0.996388428355199	1.64269835455847	NA	48	313
CRC0440LMX0A02001TUMD08000V2.fit.0.025_0.15.r2:1	0.986739225625575	1.39724232917622	NA	36	369
CRC0440PRX0A01001TUMD12000V2.fit.0.025_0.15.r2:1	0.992540711016382	0.412367935052988	NA	12	57
CRC0449LMX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.720073333520857	0.613405468975904	NA	11	198
CRC0449PRX0A01001TUMD11000V2.fit.0.025_0.15.r2:1	0.979859195541336	2.75964735894346	NA	72	274
CRC0468LMX0B02004TUMD07000V2.fit.0.025_0.15.r2:1	0.994541128434238	0.644365174905032	NA	18	237
CRC0468PRX0B01001TUMD08000V2.fit.0.025_0.15.r2:1	0.929521233315603	1.52339146957863	NA	25	272
CRC0481LMX0A02001TUMD08000V2.fit.0.025_0.15.r2:1	0.919801689991144	1.14320443505682	NA	25	186
CRC0481PRX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.928888411673906	1.96999522294661	NA	38	192
CRC0498LMX0A02001TUMD08000V2.fit.0.025_0.15.r2:1	0.941829626393796	1.10736747492022	NA	26	296
CRC0498PRX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.958778802693213	2.30535268834	NA	49	301
CRC0549LMX0B02004TUMD10000V2.fit.0.025_0.15.r2:1	0.916462190398212	4.95756466241642	NA	108	313
CRC0549PRX0A02004TUMD08000V2.fit.0.025_0.15.r2:1	0.905345839338068	0.829256075126176	NA	13	82
CRC0740LMX0A02001TUMD08000V2.fit.0.025_0.15.r2:1	0.973964389871972	1.71638403094755	NA	31	241
CRC0740PRX0A02001TUMD08000V2.fit.0.025_0.15.r2:1	0.951452660962452	6.09912272888414	NA	139	394
CRC1063LMX0A01001TUMD07000V2.fit.0.025_0.15.r2:1	0.996645562537798	2.24118583460687	NA	70	427
CRC1063PRX0B02001TUMD08000V2.fit.0.025_0.15.r2:1	0.951640494499821	1.05975512180975	NA	22	266
CRC1144LMX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.839275551753493	5.05114143978998	NA	95	322
CRC1144PRX0B02002TUMD08000V2.fit.0.025_0.15.r2:1	0.864910545417424	2.03875995674224	NA	37	302
CRC1169LMX0A02001TUMD08000V2.fit.0.025_0.15.r2:1	0.900231754031457	8.71739728468538	NA	175	720
CRC1169PRX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.927152741042622	3.64433564117201	NA	98	585
CRC1182LMX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.762767336428283	1.88958147934807	NA	31	273
CRC1182PRX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.997333849409391	2.57091029050271	NA	73	310
CRC1240LMX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.907492523120087	3.2777302756032	NA	77	442
CRC1240PRX0B01001TUMD08000V2.fit.0.025_0.15.r2:1	0.975176382959279	0.353960434715154	NA	9	389
CRC1251LMX0A02001TUMD08000V2.fit.0.025_0.15.r2:1	0.971664629391855	1.95780880086272	NA	53	297
CRC1251PRX0A01001TUMD08000V2.fit.0.025_0.15.r2:1	0.954577175219038	2.52220613757619	NA	67	346
